text,label
ချစ်ခြင်းတစ်ခုတည်းနဲ့ဘဲ မတည်မြဲနိုင်ပါဘူး,0
အားငယ်နေတဲ့အချိန် ဆွဲမိတဲ့ လက်တစ်စုံက မကောင်းတဲ့ လူတစ်ယောက်ရဲ့ လက်ဖြစ်နေမှန်း တဖြေးဖြေး ပိုသိလာခဲ့ရတယ်,0
စိတ်ညစ်ညစ်နဲ့ အကုန်ထားခဲ့ပီး ထွက်သွားလိုက်ချင်တယ်,0
ခုရက်ပိုင်းနေလို့ သိပ်အဆင်ပြေမနေဘူး စိတ်ထဲလဲမကောင်းဘူး သက်သက်ကြီးခွဲခြားဆက်ဆံတယ်လို့ ခံစားလာရတယ်,0
ဗိုက်ဝအောင်တောင် မနည်းရုန်းကန်နေရတဲ့ မြန်မာပြည်က အောက်ခြေလူတန်းစားတွေအတွက်တော့ လှောင်ပြောင်သံ တစ်ခုလိုပါပဲ,0
အခြေခံလူတန်းစားတွေဟာ သူတို့ရဲ့ ကျန်းမာရေးကို စတေးပြီး မိသားစု ဝမ်းရေးကို ဦးစားပေးနေကြရပါတယ်,0
ကျွန်တော်တို့ မဆက်သွယ်ဘဲနေရအောင်,0
ခဏဆုံခဲ့တယ်လို့ဘဲ ထားကြရအောင်,0
မြို့တွေက လူသူကင်းမဲ့သွားပြီး လမ်းတွေကဟာ ခြောက်ကပ်သွားလေ့ရှိပါတယ်,0
အခွင့်အရေးများ ဆုံးရှုံးရတော့မည် ဖြစ်၍ ဝမ်းသာခြင်းမရှိတော့ပါ ,0
မနက်ဖြန်ကိုမတွေးချင်လောက်အောင်စိတ်ပင်ပန်းတာတွေ ,0
အမြဲ ကြည့်လိုက်ရင် တစ်ယောက်တည်းပဲ မပျင်းဘူးလား တဲ့,0
ဘဝနေဝင်ချိန်ရောက်တဲ့အခါ တစ်နေ့တော့ ခွဲကိုခွဲရဦးမှာပါ,0
ထွက်ခွာသွားလို့လည်း စိတ်ဓါတ်ကျမသွားနဲ့ဦး,0
ဘဝရဲ လိုအပ်ချက်တွေကို လုံလောက်နေပေမယ့် လိုချင်တာများနေရင် ဘယ်တော့မှ ပျော်ခွင့်မရနိုင်ပါဘူး,0
ပိုင်ဆိုင်မှုနဲ့ အောင်မြင်မှုကိုလိုက်နေပြီး စိတ်ပျော်ရွှင်မှုကို မခံစားဖူးသူတွေ လောကကြီးထဲမှာ ဒုနဲ့ဒေးပဲ,0
နောက်ဆုံးမှာတော့ အသက်ကြီးပြီးမှ ဘဝမှာ ပျော်ရွှင်ခြင်းဆိုတာကိုတောင် သိနိုင်ခွင့်မရကြပဲ နောင်တတွေထဲမှာပဲ နေထိုင်အဆုံးသတ်သွားကြတယ်,0
ကိုယ့်ဘေးနားကလူတွေကို တစ်နေ့နေ့ ကိုယ့်ကိုနုတ်မဆက်ပဲ အလျှိုလျှိုထွက်သွား နေကြပြီ,0
အလွမ်းတွေနဲ့ပြည့်နှက်နေတဲ့ နွေဦးကာလလေးကို ရောက်ပြီ,0
ရိုးသားစွာ ပြောတဲ့အခါ လူတွေက သင့်ကို လျစ်လျူရှုသွားတာ ကြုံဖူးလား,0
စိတ်ရင်းနဲ့ပြောဆို ဆက်ဆံသမျှ အရာတွေဟာ တူညီသော တုန့်ပြန်မှုမရှိဘူးဆိုတာ,0
လက်ရှိရောက်နေတဲ့ နေရာနဲ့ ရှေ့မှာရှိနေတဲ့ အရာတွေက ငါ့အတွက် အကောင်းဆုံးပါပဲ,0
ဆက်ဆံရေးတွေ ခဏခဏ ပျက်စီးနေတာဟာ သင် ကံမကောင်းလို့ မဟုတ်ပါဘူး,0
တစ်ယောက်တည်း ဖြစ်သွားရင်လည်း တစ်ယောက်တည်းပဲ နေတတ်ရမယ်လေ,0
,
,
,
,
,
,
မနက်ခင်းနိုးထတိုင်း စိတ်နှလုံး သာယာ ရွှင်လန်းနိုင်ပါစေ,1
ခိုင်မာတဲ့ စိတ်ဓါတ်ရှိတဲ့ ခေါင်းဆောင်အောက်မျာဘဲ ဝန်ထမ်းတွေဟာ ယုံကြည်မှုရှိရှိနဲ့ အလုပ်ဆက်လုပ်နိုင်ကြတာပါ,1
အဖွဲ့အစည်းရဲ့ အကျိုးကို ကြည့်တတ်တဲ့ စိတ်ဓါတ်ရှိမှသာ ရေရှည်မှာ အောင်မြင်မယ့်ဆုံးဖြတ်ချက်မျိုး ချနိုင်မှာပါ,1
ကိုယ်သင်ပေးလိုက်တဲ့သူက ပြောင်းလဲသွားတာတွေ ချီးကျူးခံနေရတာမျိုးဆို အရမ်းကိုပျော်တာပါ,1
အေးချမ်းပြီး ကိုယ့်ကို နားလည်ပေးနိုင်တဲ့ သူတွေနားမှာ နေတဲ့အခါ ခန္ဓာကိုယ်ထဲက စိတ်ဖိစီးမှုဟော်မုန်းတွေ ကျဆင်းသွားပါတယ်။,1
သင့်ကို အမြဲတမ်း စိတ်အေးချမ်းမှုပေးတဲ့ သူငယ်ချင်းတွေကို အမြဲသတိရလိုက်ပါ,1
ဆေးစွမ်းကောင်းအသစ်တွေ ပေါ်လာတယ်ဆိုတာ ကြားရတာ ဝမ်းသာစရာပါ,1
မင်းက ပျော်အောင်နေတတ်ပါတယ်,1
တစ်လတိတိ ပြည့်သောနေ့၌ အဖေပြန်ရောက်လာသဖြင့် အလွန်ဝမ်းသာကြသည်,1
စာသင်မှုရပ်နားသဖြင့် ကျောင်းသားများထုံးစံအတိုင်း ဝမ်းသာကြသည်,1
နေ့ရက်တိုင်းမှာ ပျော်ရွှင်စေဖို့ ပန်းတွေပေးချင်တယ်,1
ကျွန်တော်ရဲ့ တနေ့ တာဖျတ်သန်းမူ့ကတော့ ချစ်ညီ လေးတွေ နဲ့ ပျော်ပျော် ရွှင်ရွှင်ပါပဲ,1
လုပ်နေကျအရာတွေထဲမှာ လုပ်နေကျအရာတွေထဲမှာ,1
အတွေ့အကြုံတွေ ပြည့်လာပြီး ဘဝကို ပြန်စတင်လို့အကောင်းဆုံးအချိန် ဆိုရင် ပိုမှန်မယ်ထင်ပါတယ်,1
ဘဝမှာ အရာသေးသေးတွေနဲ့ ပျော်ရွှင်အောင်နေထိုင်ပါ,1
တစ်နေကုန် စိတ်အေးအေးလေး နေရင်းနဲ့ ကောင်းမွန်တဲ့ လူတစ်ယောက်ရဲ့အပြုံး၊ ချိုမြိန်တဲ့ရေနွေးခွက်၊ သတိတရားနဲ့ ရောထည့်ထားတဲ့ တိတ်ဆိတ်မှုထဲမှာလည်း ရှိနေတတ်ပါတယ်,1
ထိုင်ခုံတစ်လုံး၊ ရေနွေးခွက်တစ်ခွက်၊ ရိုးရှင်းတဲ့ ပြုံးမှုတစ်ခု အဲ့ဒါတွေကပဲ တကယ်အနားယူခြင်း၊ တကယ်ပျော်ခြင်းကို အတိအကျ ဖြစ်နိုင်ပါတယ်,1
လောကမှာ ကောင်းတဲ့သူနဲ့တွေ့ရင် ပျော်ရွှင်မှုကို အတူတူ ခံစားလိုက်ပါ,1
အခွင့်အလမ်းသစ်များ ရလာမယ်: စိတ်ကြည်လင်တဲ့အတွက် ကံကောင်းခြင်းတွေ ဝင်လာဖို့ လမ်းပွင့်သွားပါတယ်,1
ကိုယ့်အတွင်းက လေးလံမှုတချို့ကိုတော့ နည်းနည်းချင်းစီ ဖြေလျော့စေရင်း ပေါ့ပါးမှုရှိတဲ့ နေရာဆီ၊ အားအင်တွေပြန်လည်ဖြည့်တင်းနိုင်တဲ့ နေရာလေးဆီ ပြန်လည်ရောက်ရှိသွားနိုင်ပါတယ်,1
,
,
,
,
,
,
,
,
,
,
တစ်ယောက်ကို တစ်ယောက်လေးစားရမယ်,2
ကိုယ့်ကို စိတ်အေးချမ်းမှုပေးတဲ့သူ၊ ကူညီဖေးမတတ်တဲ့ သူတွေနဲ့ အချိန်ပိုပေးပြီး၊ စိတ်ရှုပ်စရာကောင်းတဲ့ သူတွေနဲ့ ခပ်ကင်းကင်းနေဖို့ သတ်မှတ်ဖို့ ဆိုတာ မာနကြီးတာ မဟုတ်ဘဲ ကိုယ့်ရဲ့ ဦးနှောက်နဲ့ ကျန်းမာရေးကို ကာကွယ်တာ ဖြစ်ပါတယ်,2
မိဘတွေကို ဆေးမှန်မှန် တိုက်နိုင်ရုံနဲ့တင် သင်ဟာ တကယ်ကို ကံကောင်းနေသူတစ်ယောက်ပါ,2
လူသားတိုင်းအတွက် အသက်ရှည်ရှည် အနာမဲ့ပြီး သက်ရှည်ကျန်းမာဖို့ အလိုအပ်ဆုံးပါ,2
မိဘများသည် ကျွန်တော်နှစ်သက်ခြင်းကို မြင်၍ သဘောကျရှာသည်,2
မင်းလေးမို့လို့ ကို အလိုလိုက်တာ အရမ်းမဆိုးနဲ့,2
အချစ်ကြောင့် အရာရာဟာ လှပပါတယ်,2
နုညံ့လှပတဲ့ အချစ်အတွက် ပန်းလေးတွေက အမြဲရှိနေတယ်,2
ဆရာ့အပေါ်တွင် ချစ်ကြောက်ရိုသေစိတ် ရှိကြသည်,2
တစ်ခါတစ်လေမှာ ကိုယ်ရဲ့ ဂရုစိုက်မှုတွေ၊ ချစ်ခြင်း မေတ္တာတွေကို ထုတ်ပြောဖို့ လိုပါတယ်,2
ဒီလူဟာ ကိုယ့်အတွက် နှလုံးသားမှာ ပန်းပွင့်စေတဲ့သူပါပဲ,2
ချစ်တဲ့အခါ ချစ်ကြောင်းပြောပြီ ချစ်တာလေးတွေလဲပြဖို့လိုတယ်နော်,2
ဘာလေးပဲ ပေးပေး တကူးတက ပေးတဲ့ အရာလေးတွေက ပျော်ရွှင်ရတယ် စိတ်အေးချမ်းစေတယ် ချစ်တယ်ဆိုတဲ့ အရာကို ခံစားမိတယ်,2
တားဆီးလို့ မရတဲ့ အထဲမှာ အချိန် နဲ့ ချစ်ခြင်းမေတ္တာပါတယ်,2
"စကားလုံးတွေနဲ့ ဖော်ပြဖို့ခက်တဲ့အခါ၊ ဒါမှမဟုတ် ချစ်ခင်မြတ်နိုးမှုကို အထူးခြားဆုံး သက်သေပြချင်တဲ့အခါ ""ပန်း"" လေးတွေက သင့်ကိုယ်စား အကောင်းဆုံး စကားပြောပေးပါလိမ့်မယ်",2
ကိုယ်ကတော့ ရှင်းပါတယ် တစ်ယောက်တည်းနေပျော်ပြီ ဘာမှစိတ်မရှုပ်ရတာကိုပဲ ကျေနပ်နေပြီ,2
ချစ်ခြင်းမေတ္တာရဲ့ နောက်ထပ်ပုံစံတစ်မျိုးက ကိုယ့်ကို စိတ်ဝင်တစားရှိတာပါတဲ့,2
တစ်ယောက်တည်း သိမ်ငယ်အေးစက်တတ်တဲ့သူဆီရောက်ရှိလာပြီး ပျော်ရွှင်နွေးထွေးစေခဲ့လို့ မင်းက ကိုယ့်အတွက် သိပ်ပြီးအဖိုးတန်ပါတယ်,2
ဘဝက အဓိပ္ပာယ်ရှိလာတယ်လို့ ခံစားလာရပြီး,2
သေးသေးလေးတွေကပဲ စိတ်ထားနိုင်ရက် တန်ဖိုးကြီးပါတယ်,2
ဒီနေ့အများအတွက်၊ ချစ်ရသူတွေအတွက် တစ်ခုခုပေးဖို့ စဉ်စားကြည့်,2
မင်္ဂလာနံနက်ခင်းပါ ဒီနေ့တစ်နေ့လုံး ကံကောင်းခြင်းတွေ ပျော်ရွှင်မှုတွေ၊ ငြိမ်းချမ်းမှုတွေ အားလုံးရရှိကြပါစေ,2
ကျန်းမာရေး ဂရုစိုက်ကွာ,2
"စိတ်ချမ်းသာဖို့နဲ့ ကိုယ်ကျန်းမာနေဖို့က ပထမဦးစားပေးရမယ့် အရာတွေဆိုတာ 
",2
ကိုယ့်မေတ္တာကကြ သူပြုံးပျော်နေတာလဲ ပဲလိုချင်တယ်,2
သူဟာ ကိုယ်ပိုင်ရသည်ဖြစ်စေ မပိုင်ရသည်ဖြစ်စေ ကိုယ်ဟာ အကောင်းဆုံး ချစ်ပေးလိုက်ဖို့ ဆန္ဒရှိတယ်,2
ဖြူစင်တဲ့ချစ်ခြင်းမေတ္တာတရားတွေပေးချင်တယ်,2
,
,
,
ကိုယ့်ကို ခွင့်မတောင်းဘဲ သူတို့ရဲ့ ပြဿနာတွေ ဒဏ်ရာတွေကို ကိုယ့်အပေါ်အကုန်လာပုံချတာမျိုး,3
ကိုယ့်ကို သည်းမခံနိုင်တဲ့အထိ ဖြစ်သွားအောင် သွယ်ဝိုက်ပြီး စောင်းမြောင်းပြောနေတာမျိုး,3
စေတနာကို စော်ကားခံရသလိုမျိုး ခံစားနေရရင် အဲ့ကနေ လှည့်ထွက်လာခဲ့တယ်,3
အလကားသင်ပေးနေတာ ဘာမှလည်းမဟုတ်ပါဘူး ထင်ရင် လာမပတ်သက်ပါနဲ့,3
ပညာရပ်တစ်ခုကို သေချာလေ့လာမထားဘဲ စော်ကားသလိုမပြောပါနဲ့,3
လူမှုရေးနားလည်မှုမရှိတဲ့လူတွေ အပြောအဆိုမတတ်တဲ့လူတွေကြောင့် စိတ်ညစ်ရတယ်,3
ယဥ်ကျေးပျူငှာမှုမရှိဘဲ ရိုင်းစိုင်းတဲ့ အပြောအဆို အမူအရာတွေကို ပေါ်ပေါ်ထင်ထင်ပြုလုပ်တတ်တာ,3
ကျွန်တော် ငိုယိုနေသည်ကို မြင်ရလျှင် သဘောကျဟန်ရှိ၏,3
လူတစ်ယောက်က အနိုင်ကျင့်စော်ကားလိုက်ရာတွင် အသားများဆတ်ဆတ်တုန်အောင် ဒေါသထွက်သည်နှင့် ထိုသူကို သတ်မည်ဟု ကြုံးဝါးလိုက်သည်,3
ဖြစ်စဉ်ကိုလည်း အားလုံးက ကျေနပ်ခြင်း မရှိဘူးလို့လည်း ဆိုပါတယ်။,3
ကလေးသူငယ်များကို ငိုအောင် ကျီစားချင်တတ်သူများအား ရန်သူသဖွယ် အမြင်ကပ်လှပါသည်,3
နှေးကွေးတာတွေအပေါ် ကစားသူတွေက စိတ်ပျက်ပြီး ဝေဖန်ကန့်ကွက်ခဲ့ကြလို့ပဲ ဖြစ်ပါတယ်,3
တချို့ကတော့ မင်းတိုးတက်တာကို မကြည့်မမြင်ချင်ကြသူလည်း ရှိကြမှာပေါ့,3
ဒီလောက်တိုတောင်းလှတဲ့ အချိန်အတွင်းမှာ အမုန်းတွေ သယ်ပြီး အသက်ရှင်နေရတာ မတန်ပါဘူး,3
အငြိုးတွေ၊ အာဃာတတွေကို ထမ်းပြီး သွားနေရင် ဘဝရဲ့ အလှတရားကို ကိုယ်တိုင်ပဲ ဆုံးရှုံးနေတဲ့အရာ ဖြစ်လာပါတယ်,3
ဒီလောက်တိုတဲ့ အချိန်အတွင်းမှာ အမုန်းတွေ သယ်ယူပြီး နေထိုင်ဖို့ မထိုက်တန်ပါဘူး,3
 မကောင်းတဲ့သူနဲ့တွေ့ရင် မုန်းမနေပါနဲ့,3
ဘဝမှာ အရေးကြီးဆုံးက မုန်းတီးမှု မဟုတ်ပါဘူး,3
မုန်းတီးမှုတွေကို ကိုယ်ထဲမှာ သယ်ယူနေရင် အဲ့ဒါက အခြားသူတွေထက် ကိုယ့်ကိုယ်ကို ပိုပင်ပန်းစေပါတယ်,3
လူလိမ်နောက်ကိုတော့ လူအုပ်ကြီး တစ်သဲသဲ လိုက်သွားတာကို မြင်ပြီး ဒေါသထွက်ဖူးပါသလား,3
လူတွေရဲ့ အတောမသတ်နိုင်တဲ့ လောဘတွေအကြောင်း ပိုသိလာတယ်ဆိုတာ,3
မကျေနပ်မှုတွေလို့ ပြောရင် ဒါဟာ လက်ရှိအခြေအနေတွေလည်း ပါဝင်နိုင်သလို တခါတလေတော့လည်း ဟိုးအရင်ကတည်းက စုစုလာတဲ့ အကြောင်းတရားတွေ ပါတယ္်,3
မပြောခဲ့တဲ့ စကားတွေ၊ မထုတ်ပြခဲ့တဲ့ ခံစားချက်တွေ၊ နောက်ကိုပို့ထားတဲ့ နာကျင်မှုတွေဟာ ကိုယ့်ဆီကို တိတ်တိတ်လေး နေရာယူ၊ ကိုယ့်စိတ်အတွင်းထဲတင် ကြီးထွားနေတတ်သေးတယ်။,3
ကိုယ့်ကိုယ်ကိုယ် ဝေဖန်ပြစ်တင်ပြောဆိုနေတတ်ကြတာမျိုးလည်း ရှိပါတယ်,3
,
,
,
,
,
,
,
ကြိုးစားမကြည့်တော့ဘဲ လက်လျော့ဖို့ အရင်တွေးတတ်တဲ့သူလား,4
ဆင်းရဲမွဲတွေမှု စစ်ဘေးဒဏ် မိသားစု ပြဿနာတွေက စိတ်ကျန်းမာရေးကို တိုက်ရိုက် သက်ရောက်စေတယ်,4
စိတ်ကျန်းမာရေးကို ထိခိုက်စေတဲ့ အနှောက်အယှက်တွေကိုလည်း တွန်းလှန်နေကြရတာပါ,4
ါပေမယ့် အမြဲတမ်း ဒေါသထွက်နေတဲ့သူ၊ အပြစ်တင် ဝေဖန်တတ်တဲ့သူတွေနဲ့ အမြဲတမ်း အတူနေရရင်တော့ ကိုယ့်ရဲ့ ဦးနှောက်က အန္တရာယ်ရှိတယ်လို့ မှတ်ယူပြီး အမြဲတမ်း သတိကြီးကြီးထား နေရပါတယ်,4
ကျန်းမာရေး မကောင်းလာကြတော့မှ ဘယ်လိာအရာတွေ ဘယ်လောက်ပဲ ကောင်းတာတွေရှိရှိ ဘဝဟာ ဘာအဓိပ္ပါယ်မှ မရှိတော့ပါဘူး,4
ကျောင်းကြီးကို ကြောက်သည်နှင့် ဆရာကိုပါ ရော၍ ကြောက်ခြင်းဖြစ်ဟန်တူပါသည်,4
ဆရာ၏ ရိုက်ခြင်းခံရမည် သိသောကြောင့် ဖိနပ်ပျောက်ခြင်းကို မတိုင်ဝံ့ပါ,4
ကားတိမ်းမှောက်မှု ဖြစ်စဉ်ကို မပျံ့နှံ့စေရန် ခရီးစဉ်မှာပါတဲ့ ဧည့်သည်တွေကို တဖက်လှည့်ဖြင့် ခြိမ်းခြောက်,4
အောက်ကပုံမှာတော့ ပုံမှန်မဟုတ်တဲ့ အရာတခု ဓာတ်ပုံထဲမှာ ပါနေပါတယ်။,4
ကျောင််းချိန်လွန်သွားသောအခါတွင် အရိုက်ခံရမည်ကို ကြောက်သည်နှင့် ကျောင်းပြေးဖို့ ဆုံးဖြတ်လိုက်ကြသည်,4
အဲ့လူမရှိတော့တဲ့အခါ ဘဝကို ဘယ်လိုရှေ့ဆက်ရတော့မှန်းမသိလောက်တဲ့ထိ အဆင်မပြေဖြစ်ရနိုင်တယ်,4
မင်းမရှိတော့တဲ့အခါအရင်ထက်ပိုပြီး မှောင်မိုက်သွားမလားလို့ တွေးပြီး ကြောက်လန့်မိပေမဲ့,4
လောဘဇောကြီးသူက တစ်နာရီတာလောက် ပျော်ရွှင်မှုတောင် တည်မြဲခြင်းမရှိကြပါဘူး,4
ဒါပေမယ့် ဒီလိုလုပ်နေရင် တစ်နေ့တစ်နေ့ ကိုယ့်စိတ်က ပိုပင်ပန်းလာမယ် အေးချမ်းမှုမရှိတော့ဘူး…မပျော်ရွှင်နိုင်တော့ဘူး,4
မဆုံးရှုံးချင်စိတ်၊ မပြောင်းလဲစေချင်စိတ်တွေကပဲ သောကတွေကို ကြီးထွားစေပါတယ်,4
အတိတ်က နောင်တတွေနဲ့ အနာဂတ်အတွက် ပူပန်မှုတွေက ကိုယ့်ကို အမှောင်ချထားသလို ခံစားရတဲ့ နေ့တွေ ရှိကြမှာပါ,4
ပြဿနာဆိုတာ မရှိတဲ့လူရယ်လို့ ဒီလောကမှာ မရှိပါဘူး,4
ကျနော်တို့ အကြောက်တရားတွေ ၊ သံသယတွေ ၊ သူများတွေငါ့ကိုဘယ်လိုထင်မလဲဆိုတဲ့ စိတ်တွေ ဒါတွေကို ကျော်လွှားဖို့လိုပါတယ်,4
ဘာလုပ်ရမှန်းမသိတဲ့ မရေရာမှုကို ပိုပြီး ကြောက်လန့်ကြပါတယ်,4
သံသယတွေနဲ့ကြည့်တတ်ခဲ့တယ်ဆိုတာ တချိန်က ရိုးသားခဲ့သမျှ အလိမ်ခံရလို့ပါ,4
,
,
,
,
,
,
,
,
,
,
လူတစ်ယောက်ကို ကူလိုက်လို့ အဲ့လူကလဲ တစ်ခြားလူတွေကို အကူညီပေးလိုက်လို့ အဆင်ပြေသွားရင် ကျေနပ်ရတယ်,5
ဂူကို အပြင်ကကြည်ရင် သေးတယ်ထင်ရပေမယ့် ဝင်ကြည့်ရင် တကယ်အံ့သြဖို့လည်း ကောင်းပါတယ်,5
သူဟာ အဲ့ဒီသင်္ဘောပေါ်မှာ တစ်ဦးတည်းသော အသက်ရှင်ကျန်ရစ်သူ ဖြစ်လာခဲ့တယ်,5
ကမ္ဘာမြေကြီးရဲ့ တစ်ဖက်ခြမ်းကနေ အခြားတစ်ဖက်ခြမ်းကို မိနစ် ၄၀ ကျော်နဲ့ ရောက်နိုင်တယ်ဆိုရင် သင်ယုံမလား,5
သီအိုရီအရ တွက်ချက်ထားတဲ့ အံ့သြစရာကောင်းတဲ့ အချက်တစ်ခုဖြစ်ပါတယ်,5
အဲ့ဒီတွင်းထဲကို ခုန်ချလိုက်တဲ့အခါ ဘာတွေဖြစ်လာမလဲဆိုတာက တကယ့်ကိုရင်ခုန်စရာပါ,5
စေတနာ့ဝန်ထမ်း လုပ်ပြီး လူပျောက်ရှာပေးခဲ့ပေမယ့် ပျောက်ဆုံးတဲ့လူက သူကိုယ်တိုင်ဖြစ်နေခဲ့တယ်,5
ပင်လယ်ပြင်က ရေကြောင်းသွားလာမှုမြေပုံကို ဖွင့်ကြည့်လိုက်တဲ့အခါမှာတော့ ယုတ္တိမရှိတဲ့ မြင်ကွင်းတစ်ခုကို တွေ့လိုက်ရပါတယ်,5
ကိုယ် တစ်သက်လုံး မကြုံရတော့ဘူးလို့ ထင်ထားတဲ့ ကောင်းမွန်မှုတွေကို မင်းဆီမှာတွေ့ခဲ့ရတယ်,5
လောကမှာ လူအများစုက “မနက်ဖြန်တစ်နေ့မှာတော့ ပိုကောင်းမှာပဲ” ဆိုတဲ့ စိတ်နဲ့ နေကြတာများပါတယ်,5
လူတချို့ရဲ့ အကြောင်းကို သိလိုက်ရတဲ့အခါ တိတ်တိတ်လေး ထိုင်အံ့ဩနေရုံကလွဲပြီး ဘာမှမလုပ်ချင်တော့ဘူး,5
တစ်ခါတလေတော့လည်း မျက်နှာဖုံးကိုယ်စီနဲ့ လူတွေကို ထိုင်ကြည့်နေရတာ တစ်မျိုးတော့ ရယ်စရာကောင်းသား,5